,season,Opponent DRtg/A,shot_distance,left_side,middle,right_side,moving,playoffs,home,segababa,Dunk or Layup,shot_made_flag,total_seconds_remaining
22997,1,109.47,141.0,0,0,1,0,0,1,1,0,0.0,659
22998,1,109.47,0.0,0,1,0,0,0,1,1,1,1.0,549
22999,1,109.47,0.0,0,1,0,0,0,1,1,1,1.0,93
23000,1,109.47,0.0,0,1,0,0,0,1,1,1,0.0,47
23009,1,112.72,0.0,0,1,0,0,0,0,0,1,1.0,776
23008,1,112.72,0.0,0,1,0,0,0,0,0,0,0.0,776
23007,1,112.72,0.0,0,1,0,0,0,0,0,1,1.0,1111
23005,1,112.72,0.0,0,1,0,0,0,0,0,0,0.0,1979
23004,1,112.72,196.0,0,0,1,0,0,0,0,0,1.0,2025
23003,1,112.72,0.0,0,1,0,0,0,0,0,1,1.0,2051
23002,1,112.72,110.0,1,0,0,0,0,0,0,0,0.0,2055
23006,1,112.72,21.0,1,0,0,0,0,0,0,0,1.0,1475
23001,1,112.72,0.0,0,1,0,1,0,0,0,1,1.0,2428
23018,1,104.24,311.0,0,0,1,0,0,0,1,0,0.0,348
23017,1,104.24,0.0,0,1,0,0,0,0,1,1,1.0,420
23015,1,104.24,314.0,0,0,1,0,0,0,1,0,1.0,652
23016,1,104.24,156.0,1,0,0,0,0,0,1,0,0.0,509
23013,1,104.24,68.0,1,0,0,0,0,0,1,0,0.0,1440
23012,1,104.24,189.0,0,0,1,0,0,0,1,0,0.0,2081
23011,1,104.24,87.0,0,0,1,0,0,0,1,0,1.0,2162
23014,1,104.24,0.0,0,1,0,1,0,0,1,1,0.0,978
23028,1,109.65,0.0,0,1,0,0,0,1,0,1,1.0,543
23031,1,109.65,100.0,1,0,0,0,0,1,0,0,0.0,293
23029,1,109.65,54.0,0,1,0,0,0,1,0,0,0.0,394
23022,1,109.65,134.0,1,0,0,0,0,1,0,0,0.0,1527
23025,1,109.65,81.0,0,1,0,0,0,1,0,0,0.0,697
23024,1,109.65,0.0,0,1,0,0,0,1,0,0,0.0,720
23023,1,109.65,0.0,0,1,0,1,0,1,0,1,1.0,1449
23021,1,109.65,0.0,0,1,0,1,0,1,0,1,1.0,1589
23020,1,109.65,94.0,1,0,0,0,0,1,0,0,0.0,1808
23019,1,109.65,11.0,0,1,0,0,0,1,0,0,0.0,1923
23026,1,109.65,0.0,0,1,0,0,0,1,0,1,1.0,644
23032,1,101.31,22.0,0,1,0,1,0,1,0,0,1.0,2373
23033,1,101.31,164.0,1,0,0,0,0,1,0,0,0.0,2230
23040,1,112.72,109.0,1,0,0,0,0,1,0,0,0.0,0
23039,1,112.72,0.0,0,1,0,1,0,1,0,1,1.0,2027
23035,1,112.72,161.0,1,0,0,0,0,1,0,0,0.0,2160
23036,1,112.72,0.0,0,1,0,0,0,1,0,1,0.0,2117
23038,1,112.72,17.0,1,0,0,0,0,1,0,0,0.0,2061
23053,1,105.3,77.0,0,1,0,0,0,1,0,0,0.0,-1368
23051,1,105.3,97.0,1,0,0,0,0,1,0,0,1.0,367
23049,1,105.3,233.0,0,0,1,0,0,1,0,0,1.0,496
23047,1,105.3,239.0,0,0,1,0,0,1,0,0,0.0,1443
23046,1,105.3,72.0,1,0,0,0,0,1,0,0,0.0,1650
23045,1,105.3,83.0,0,0,1,0,0,1,0,0,1.0,1848
23044,1,105.3,310.0,0,1,0,0,0,1,0,0,1.0,1956
23043,1,105.3,356.0,0,0,1,0,0,1,0,0,1.0,2114
23042,1,105.3,0.0,0,1,0,1,0,1,0,1,1.0,2150
23060,1,109.18,0.0,0,1,0,0,0,1,0,1,0.0,699
23059,1,109.18,11.0,0,1,0,1,0,1,0,0,1.0,739
23055,1,109.18,0.0,0,1,0,0,0,1,0,1,0.0,2048
23054,1,109.18,32.0,1,0,0,0,0,1,0,0,0.0,2160
23058,1,109.18,0.0,0,1,0,0,0,1,0,1,1.0,799
23061,1,113.27,347.0,0,0,1,0,0,1,0,0,1.0,2092
23064,1,113.27,334.0,0,0,1,0,0,1,0,0,0.0,1055
23065,1,113.27,0.0,0,1,0,0,0,1,0,1,1.0,152
23067,1,113.27,0.0,0,1,0,0,0,1,0,1,0.0,81
23068,1,113.27,65.0,1,0,0,0,0,1,0,0,1.0,45
23073,1,104.03,0.0,0,1,0,0,0,0,0,1,0.0,22
23071,1,104.03,74.0,0,1,0,0,0,0,0,0,0.0,705
23072,1,104.03,19.0,0,1,0,1,0,0,0,0,1.0,82
23069,1,104.03,325.0,0,0,1,0,0,0,0,0,1.0,1971
23085,1,109.18,343.0,0,0,1,0,0,0,0,0,0.0,12
23084,1,109.18,9.0,1,0,0,0,0,0,0,0,1.0,124
23082,1,109.18,0.0,0,1,0,1,0,0,0,1,1.0,977
23081,1,109.18,99.0,0,1,0,0,0,0,0,0,0.0,1158
23083,1,109.18,222.0,0,0,1,0,0,0,0,0,1.0,198
23079,1,109.18,243.0,0,1,0,0,0,0,0,0,0.0,1504
23078,1,109.18,0.0,0,1,0,1,0,0,0,1,1.0,1818
23077,1,109.18,334.0,0,0,1,0,0,0,0,0,0.0,2585
23075,1,109.18,0.0,0,1,0,0,0,0,0,1,0.0,2862
23080,1,109.18,65.0,1,0,0,0,0,0,0,0,0.0,1441
23094,1,113.15,0.0,0,1,0,0,0,0,1,1,1.0,1080
23097,1,113.15,15.0,1,0,0,0,0,0,1,0,0.0,98
23095,1,113.15,324.0,0,0,1,0,0,0,1,0,1.0,414
23088,1,113.15,76.0,1,0,0,0,0,0,1,0,0.0,1680
23091,1,113.15,317.0,0,0,1,0,0,0,1,0,0.0,1385
23090,1,113.15,325.0,0,0,1,0,0,0,1,0,0.0,1518
23087,1,113.15,0.0,0,1,0,0,0,0,1,1,1.0,2452
23086,1,113.15,13.0,1,0,0,0,0,0,1,0,0.0,2801
23092,1,113.15,0.0,0,1,0,0,0,0,1,1,1.0,1269
23104,1,105.59,0.0,0,1,0,1,0,1,0,1,0.0,267
23105,1,105.59,104.0,1,0,0,0,0,1,0,0,0.0,56
23103,1,105.59,182.0,0,0,1,0,0,1,0,0,1.0,696
23101,1,105.59,58.0,0,1,0,0,0,1,0,0,0.0,1835
23100,1,105.59,35.0,1,0,0,0,0,1,0,0,0.0,1990
23099,1,105.59,225.0,0,0,1,0,0,1,0,0,1.0,2057
23098,1,105.59,0.0,0,1,0,0,0,1,0,1,0.0,2105
23115,1,108.58,0.0,0,1,0,0,0,0,0,1,1.0,219
23114,1,108.58,0.0,0,1,0,0,0,0,0,1,0.0,226
23113,1,108.58,156.0,0,1,0,0,0,0,0,0,0.0,229
23107,1,108.58,44.0,0,1,0,0,0,0,0,0,0.0,2036
23111,1,108.58,0.0,0,1,0,1,0,0,0,1,0.0,773
23112,1,108.58,37.0,0,1,0,0,0,0,0,0,0.0,627
23108,1,108.58,73.0,1,0,0,1,0,0,0,0,1.0,1951
23109,1,108.58,0.0,0,1,0,0,0,0,0,1,0.0,1066
23110,1,108.58,339.0,0,0,1,0,0,0,0,0,0.0,1034
23117,1,103.19,0.0,0,1,0,0,0,1,1,1,1.0,2160
23118,1,103.19,28.0,1,0,0,0,0,1,1,0,1.0,1989
23119,1,103.19,0.0,0,1,0,0,0,1,1,0,0.0,1907
23120,1,103.19,172.0,0,1,0,0,0,1,1,0,0.0,1814
23122,1,103.19,21.0,0,1,0,0,0,1,1,0,0.0,580
23127,1,108.06,181.0,1,0,0,0,0,0,0,0,0.0,587
23126,1,108.06,42.0,0,1,0,0,0,0,0,0,0.0,619
23124,1,108.06,0.0,0,1,0,0,0,0,0,1,0.0,2326
23129,1,112.15,258.0,0,0,1,0,0,0,1,0,1.0,2209
23130,1,112.15,86.0,1,0,0,0,0,0,1,0,1.0,2048
23131,1,112.15,0.0,0,1,0,0,0,0,1,1,1.0,2033
23132,1,112.15,0.0,0,1,0,0,0,0,1,1,0.0,1884
23133,1,112.15,146.0,0,0,1,0,0,0,1,0,0.0,1533
23134,1,112.15,0.0,0,1,0,0,0,0,1,1,0.0,590
23136,1,112.15,11.0,1,0,0,0,0,0,1,0,0.0,355
23137,1,112.15,24.0,1,0,0,0,0,0,1,0,0.0,334
23139,1,104.03,0.0,0,1,0,0,0,1,0,1,0.0,58
23138,1,104.03,0.0,0,1,0,0,0,1,0,1,0.0,284
23147,1,103.08,115.0,1,0,0,0,0,1,0,0,0.0,53
23144,1,103.08,113.0,1,0,0,0,0,1,0,0,1.0,1133
23143,1,103.08,7.0,1,0,0,0,0,1,0,0,1.0,2264
23145,1,103.08,97.0,1,0,0,0,0,1,0,0,0.0,171
23142,1,103.08,124.0,1,0,0,0,0,1,0,0,0.0,2431
23148,1,112.72,239.0,0,0,1,0,0,1,0,0,1.0,2162
23149,1,101.68,82.0,1,0,0,0,0,1,0,0,0.0,2096
23150,1,101.68,252.0,0,0,1,0,0,1,0,0,0.0,2066
23151,1,103.2,0.0,0,1,0,0,0,0,0,1,0.0,74
23159,1,105.67,56.0,1,0,0,0,0,0,0,0,0.0,204
23160,1,105.67,0.0,0,1,0,0,0,0,0,1,0.0,24
23155,1,105.67,0.0,0,1,0,0,0,0,0,1,0.0,882
23156,1,105.67,0.0,0,1,0,0,0,0,0,1,0.0,641
23152,1,105.67,152.0,0,0,1,0,0,0,0,0,1.0,1805
23157,1,105.67,0.0,0,1,0,0,0,0,0,1,1.0,620
23154,1,105.67,172.0,0,0,1,0,0,0,0,0,1.0,1681
23161,1,109.18,323.0,0,0,1,0,0,0,0,0,0.0,1753
23162,1,109.18,0.0,0,1,0,0,0,0,0,1,0.0,1669
23163,1,104.8,92.0,0,1,0,1,0,1,0,0,0.0,1800
23166,1,104.8,133.0,1,0,0,0,0,1,0,0,0.0,1450
23167,1,104.8,2.0,1,0,0,0,0,1,0,0,0.0,465
23168,1,104.8,339.0,0,0,1,0,0,1,0,0,0.0,360
23169,1,104.8,0.0,0,1,0,1,0,1,0,1,1.0,148
23171,1,104.8,0.0,0,1,0,0,0,1,0,1,1.0,59
23165,1,104.8,0.0,0,1,0,0,0,1,0,1,0.0,1610
23177,1,110.22,167.0,1,0,0,0,0,1,0,0,0.0,95
23175,1,110.22,0.0,0,1,0,0,0,1,0,1,0.0,709
23173,1,110.22,120.0,1,0,0,0,0,1,0,0,1.0,2022
23176,1,110.22,145.0,0,0,1,1,0,1,0,0,1.0,438
23182,1,113.27,8.0,1,0,0,0,0,1,0,0,1.0,1780
23183,1,113.27,204.0,0,0,1,0,0,1,0,0,0.0,1684
23185,1,113.27,341.0,0,0,1,0,0,1,0,0,0.0,1640
23186,1,113.27,109.0,0,1,0,0,0,1,0,0,1.0,806
23179,1,113.27,100.0,1,0,0,0,0,1,0,0,1.0,2160
23180,1,113.27,352.0,0,0,1,0,0,1,0,0,1.0,2131
23201,1,108.58,334.0,0,0,1,0,0,1,0,0,1.0,104
23200,1,108.58,0.0,0,1,0,0,0,1,0,1,0.0,381
23199,1,108.58,0.0,0,1,0,0,0,1,0,1,0.0,513
23198,1,108.58,0.0,0,1,0,0,0,1,0,0,0.0,517
23196,1,108.58,178.0,1,0,0,0,0,1,0,0,0.0,867
23197,1,108.58,0.0,0,1,0,0,0,1,0,1,1.0,559
23194,1,108.58,101.0,1,0,0,0,0,1,0,0,1.0,960
23193,1,108.58,0.0,0,1,0,0,0,1,0,1,1.0,1546
23192,1,108.58,0.0,0,1,0,0,0,1,0,1,0.0,2193
23191,1,108.58,0.0,0,1,0,1,0,1,0,1,1.0,2322
23195,1,108.58,337.0,0,0,1,0,0,1,0,0,1.0,896
23190,1,108.58,0.0,0,1,0,0,0,1,0,1,0.0,2375
23189,1,108.58,211.0,0,0,1,0,0,1,0,0,0.0,2436
23205,1,108.57,334.0,0,0,1,0,0,1,0,0,0.0,997
23202,1,108.57,62.0,0,1,0,0,0,1,0,0,0.0,2162
23203,1,108.57,93.0,1,0,0,0,0,1,0,0,0.0,2142
23204,1,108.57,246.0,0,1,0,0,0,1,0,0,0.0,2056
23206,1,108.57,0.0,0,1,0,0,0,1,0,1,0.0,805
23207,1,108.57,42.0,1,0,0,0,0,1,0,0,1.0,720
23209,1,108.57,24.0,1,0,0,0,0,1,0,0,0.0,613
23210,1,108.57,213.0,0,1,0,0,0,1,0,0,0.0,317
23217,1,112.15,65.0,1,0,0,1,0,0,1,0,0.0,33
23216,1,112.15,332.0,0,1,0,0,0,0,1,0,0.0,50
23215,1,112.15,243.0,0,1,0,0,0,0,1,0,1.0,81
23212,1,112.15,0.0,0,1,0,0,0,0,1,1,0.0,2192
23211,1,112.15,339.0,0,0,1,0,0,0,1,0,1.0,2239
23218,1,103.08,28.0,1,0,0,0,0,0,0,0,0.0,2098
23219,1,106.8,0.0,0,1,0,1,0,0,0,1,1.0,1908
23220,1,106.8,15.0,1,0,0,0,0,0,0,0,1.0,1892
23221,1,106.8,171.0,0,1,0,0,0,0,0,0,0.0,381
23222,1,106.8,0.0,0,1,0,0,0,0,0,1,1.0,232
23223,1,106.8,0.0,0,1,0,0,0,0,0,0,0.0,163
23224,1,106.8,122.0,0,0,1,0,0,0,0,0,0.0,137
23225,1,110.22,0.0,0,1,0,1,0,0,1,1,1.0,1992
23226,1,110.22,18.0,1,0,0,0,0,0,1,0,0.0,1964
23227,1,110.22,0.0,0,1,0,1,0,0,1,1,1.0,142
23237,1,108.7,217.0,0,0,1,1,0,1,0,0,1.0,1024
23241,1,108.7,137.0,1,0,0,0,0,1,0,0,0.0,635
23239,1,108.7,343.0,0,0,1,0,0,1,0,0,1.0,689
23238,1,108.7,31.0,0,1,0,1,0,1,0,0,1.0,988
23236,1,108.7,295.0,0,1,0,0,0,1,0,0,0.0,1268
23233,1,108.7,106.0,1,0,0,0,0,1,0,0,0.0,1768
23234,1,108.7,0.0,0,1,0,1,0,1,0,1,1.0,1590
23231,1,108.7,204.0,0,0,1,0,0,1,0,0,1.0,2507
23230,1,108.7,0.0,0,1,0,0,0,1,0,1,0.0,2573
23229,1,108.7,95.0,1,0,0,0,0,1,0,0,0.0,2581
23228,1,108.7,0.0,0,1,0,0,0,1,0,1,0.0,2835
23235,1,108.7,0.0,0,1,0,1,0,1,0,1,1.0,1485
23252,1,112.72,276.0,0,0,1,0,0,0,1,0,0.0,756
23257,1,112.72,0.0,0,1,0,0,0,0,1,1,1.0,-647
23256,1,112.72,76.0,0,1,0,1,0,0,1,0,0.0,-597
23255,1,112.72,242.0,0,1,0,0,0,0,1,0,1.0,-518
23253,1,112.72,67.0,0,1,0,0,0,0,1,0,1.0,215
23245,1,112.72,321.0,0,0,1,0,0,0,1,0,0.0,2598
23249,1,112.72,0.0,0,1,0,1,0,0,1,1,1.0,1104
23242,1,112.72,321.0,0,0,1,0,0,0,1,0,0.0,2853
23250,1,112.72,0.0,0,1,0,0,0,0,1,1,1.0,972
23243,1,112.72,157.0,0,1,0,0,0,0,1,0,1.0,2729
23244,1,112.72,0.0,0,1,0,0,0,0,1,1,0.0,2626
23246,1,112.72,0.0,0,1,0,0,0,0,1,1,0.0,1875
23248,1,112.72,298.0,0,0,1,0,0,0,1,0,0.0,1690
23247,1,112.72,0.0,0,1,0,0,0,0,1,1,0.0,1733
23258,1,104.03,96.0,0,1,0,0,0,0,0,0,1.0,2323
23259,1,104.03,0.0,0,1,0,1,0,0,0,1,1.0,1934
23260,1,104.03,87.0,1,0,0,0,0,0,0,0,1.0,1874
23261,1,104.03,76.0,1,0,0,0,0,0,0,0,1.0,1779
23268,1,112.15,0.0,0,1,0,1,0,1,1,1,1.0,48
23267,1,112.15,132.0,1,0,0,0,0,1,1,0,0.0,96
23265,1,112.15,0.0,0,1,0,0,0,1,1,1,0.0,2010
23264,1,112.15,34.0,0,1,0,1,0,1,1,0,1.0,2160
23263,1,112.15,0.0,0,1,0,0,0,1,1,1,0.0,2321
23266,1,112.15,0.0,0,1,0,0,0,1,1,1,0.0,424
23269,1,113.15,31.0,0,1,0,1,0,1,0,0,1.0,2308
23270,1,113.15,57.0,0,1,0,1,0,1,0,0,1.0,2287
23271,1,113.15,67.0,1,0,0,0,0,1,0,0,0.0,2252
23272,1,113.15,0.0,0,1,0,1,0,1,0,1,1.0,2165
23273,1,113.15,0.0,0,1,0,1,0,1,0,1,1.0,669
23274,1,113.15,350.0,0,0,1,0,0,1,0,0,0.0,16
23282,1,109.18,3.0,0,1,0,0,0,1,0,0,1.0,649
23283,1,109.18,153.0,1,0,0,0,0,1,0,0,0.0,564
23278,1,109.18,280.0,0,1,0,0,0,1,0,0,1.0,1911
23275,1,109.18,0.0,0,1,0,0,0,1,0,1,0.0,2349
23279,1,109.18,293.0,0,1,0,0,0,1,0,0,0.0,1627
23277,1,109.18,42.0,1,0,0,0,0,1,0,0,0.0,2067
23276,1,109.18,10.0,1,0,0,0,0,1,0,0,0.0,2305
23284,1,113.27,0.0,0,1,0,1,0,0,0,1,1.0,2140
23294,1,113.27,50.0,1,0,0,0,0,0,0,0,0.0,208
23293,1,113.27,60.0,1,0,0,0,0,0,0,0,1.0,279
23292,1,113.27,0.0,0,1,0,1,0,0,0,1,1.0,618
23289,1,113.27,271.0,0,1,0,0,0,0,0,0,1.0,845
23287,1,113.27,89.0,1,0,0,1,0,0,0,0,1.0,1601
23286,1,113.27,0.0,0,1,0,0,0,0,0,1,1.0,1676
23285,1,113.27,124.0,0,1,0,1,0,0,0,0,1.0,1819
23290,1,113.27,262.0,0,0,1,0,0,0,0,0,1.0,728
23306,1,105.23,30.0,0,1,0,0,0,0,1,0,0.0,367
23305,1,105.23,0.0,0,1,0,1,0,0,1,1,0.0,531
23304,1,105.23,231.0,0,1,0,0,0,0,1,0,0.0,874
23302,1,105.23,145.0,1,0,0,0,0,0,1,0,0.0,1289
23297,1,105.23,256.0,0,0,1,0,0,0,1,0,0.0,2252
23299,1,105.23,127.0,1,0,0,0,0,0,1,0,0.0,2129
23298,1,105.23,280.0,0,0,1,0,0,0,1,0,0.0,2163
23312,1,109.44,128.0,1,0,0,0,0,1,0,0,1.0,603
23313,1,109.44,338.0,0,0,1,0,0,1,0,0,0.0,3
23309,1,109.44,0.0,0,1,0,0,0,1,0,1,1.0,1624
23307,1,109.44,35.0,0,1,0,0,0,1,0,0,0.0,2803
23310,1,109.44,0.0,0,1,0,1,0,1,0,1,1.0,1412
23316,1,105.23,33.0,0,1,0,0,0,1,0,0,1.0,632
23317,1,105.23,0.0,0,1,0,0,0,1,0,1,1.0,521
23318,1,105.23,134.0,1,0,0,0,0,1,0,0,0.0,298
23314,1,105.23,124.0,0,0,1,0,0,1,0,0,1.0,1457
23319,1,109.47,343.0,0,0,1,0,0,1,0,0,0.0,2057
23321,1,109.47,0.0,0,1,0,0,0,1,0,1,0.0,104
23322,1,109.47,0.0,0,1,0,0,0,1,0,1,1.0,61
30030,1,104.24,24.0,1,0,0,0,1,1,0,0,1.0,15
30032,1,104.24,0.0,0,1,0,0,1,1,0,1,0.0,40
30031,1,104.24,0.0,0,1,0,0,1,1,0,1,1.0,140
30046,1,104.24,319.0,0,0,1,0,1,0,0,0,1.0,34
30045,1,104.24,178.0,0,1,0,0,1,0,0,0,1.0,68
30044,1,104.24,0.0,0,1,0,1,1,0,0,1,0.0,161
30042,1,104.24,126.0,0,1,0,0,1,0,0,0,1.0,313
30039,1,104.24,0.0,0,1,0,0,1,0,0,1,0.0,480
30038,1,104.24,317.0,0,0,1,0,1,0,0,0,0.0,572
30037,1,104.24,17.0,0,1,0,0,1,0,0,0,1.0,1609
30036,1,104.24,0.0,0,1,0,0,1,0,0,1,1.0,2069
30035,1,104.24,118.0,1,0,0,0,1,0,0,0,0.0,2071
30034,1,104.24,0.0,0,1,0,1,1,0,0,1,1.0,2262
30041,1,104.24,0.0,0,1,0,0,1,0,0,1,0.0,351
30047,1,105.23,559.0,0,1,0,0,1,0,0,0,0.0,2160
30048,1,105.23,33.0,1,0,0,0,1,0,0,0,0.0,2134
30049,1,105.23,296.0,0,0,1,0,1,0,0,0,1.0,556
30050,1,105.23,85.0,1,0,0,0,1,0,0,0,0.0,488
30051,1,105.23,350.0,0,0,1,0,1,0,0,0,0.0,424
30052,1,105.23,33.0,1,0,0,0,1,0,0,0,0.0,120
30053,1,105.23,232.0,0,1,0,0,1,0,0,0,0.0,0
30054,1,105.23,0.0,0,1,0,0,1,0,0,1,1.0,2090
30055,1,105.23,54.0,0,1,0,0,1,1,0,0,0.0,2134
30061,1,105.23,0.0,0,1,0,0,1,1,0,1,1.0,186
30058,1,105.23,0.0,0,1,0,1,1,1,0,1,1.0,427
30059,1,105.23,198.0,0,0,1,0,1,1,0,0,0.0,307
30056,1,105.23,84.0,1,0,0,0,1,1,0,0,0.0,1823
30070,1,105.23,19.0,1,0,0,0,1,1,0,0,0.0,54
30069,1,105.23,376.0,0,0,1,0,1,1,0,0,0.0,313
30062,1,105.23,0.0,0,1,0,0,1,1,0,1,0.0,1803
30066,1,105.23,226.0,0,1,0,0,1,1,0,0,1.0,755
30065,1,105.23,122.0,0,1,0,0,1,1,0,0,0.0,1698
30067,1,105.23,350.0,0,0,1,0,1,1,0,0,0.0,673
30082,1,105.23,0.0,0,1,0,1,1,0,0,1,1.0,-617
30081,1,105.23,255.0,0,1,0,0,1,0,0,0,0.0,-537
30080,1,105.23,335.0,0,0,1,0,1,0,0,0,0.0,-442
30083,1,105.23,276.0,0,1,0,0,1,0,0,0,0.0,-679
30076,1,105.23,235.0,0,0,1,0,1,0,0,0,1.0,596
30077,1,105.23,41.0,0,1,0,1,1,0,0,0,1.0,377
30074,1,105.23,22.0,1,0,0,0,1,0,0,0,0.0,832
30071,1,105.23,113.0,1,0,0,0,1,0,0,0,0.0,2207
30078,1,105.23,0.0,0,1,0,0,1,0,0,1,1.0,156
30072,1,105.23,140.0,1,0,0,0,1,0,0,0,0.0,2113
30084,1,105.23,360.0,0,0,1,0,1,0,0,0,0.0,-715
23330,2,106.35,0.0,0,1,0,1,0,1,0,1,0.0,779
23323,2,106.35,0.0,0,1,0,0,0,1,0,1,1.0,2433
23324,2,106.35,40.0,0,1,0,0,0,1,0,0,0.0,2370
23325,2,106.35,0.0,0,1,0,0,0,1,0,1,0.0,2210
23326,2,106.35,168.0,0,1,0,0,0,1,0,0,0.0,2162
23327,2,106.35,333.0,0,0,1,0,0,1,0,0,0.0,1777
